,AJCC
OID20646,0.5008361439867731
OID20507,0.5008361439867731
OID20533,0.5008361439867731
OID21446,0.4989266379911808
OID20329,0.4989266379911808
OID21022,0.4989266379911808
OID21061,0.4970171319955885
OID20677,0.4970171319955885
OID20394,0.4970171319955885
OID30310,0.49647155885399075
OID20757,0.49647155885399075
OID21129,0.49483483942919737
OID20086,0.49483483942919737
OID30603,0.49483483942919737
OID21513,0.49483483942919737
OID20391,0.49483483942919737
OID30681,0.49483483942919737
OID20707,0.49483483942919737
OID20940,0.49456205285839844
OID21104,0.49374369314600175
OID30297,0.49292533343360506
OID20859,0.49292533343360506
OID30271,0.49292533343360506
OID20684,0.4923797602920073
OID21079,0.4912886140088117
OID30246,0.4912886140088117
OID30687,0.4896518945840183
OID20956,0.4888335348716216
OID21320,0.4888335348716216
OID21179,0.4888335348716216
OID21051,0.48719681544682825
OID20781,0.48692402887602937
OID21091,0.4866512423052305
OID21053,0.4850145228804371
OID20793,0.4836505900264426
OID21030,0.48337780345564374
OID20739,0.4831050168848448
OID31428,0.48283223031404593
OID30250,0.48283223031404593
OID31515,0.48283223031404593
OID21227,0.48283223031404593
OID20681,0.48283223031404593
OID30336,0.48283223031404593
OID30649,0.48283223031404593
OID20742,0.48283223031404593
OID21397,0.48283223031404593
OID20530,0.48119551088925255
OID20108,0.48119551088925255
OID20567,0.4809227243184537
OID20210,0.48064993774765474
OID30399,0.4792860048936603
OID20156,0.47901321832286137
OID20373,0.4787404317520625
OID20665,0.4781948586104647
OID21371,0.4771037123272691
OID20989,0.4771037123272691
OID30313,0.47683092575647024
OID31375,0.47683092575647024
OID30736,0.4765581391856713
OID30342,0.4749214197608779
OID20107,0.4749214197608779
OID30340,0.4749214197608779
OID21058,0.4749214197608779
OID20154,0.47383027347768236
OID20904,0.4730119137652857
OID20523,0.4730119137652857
OID30677,0.4730119137652857
OID20737,0.4727391271944868
OID30351,0.4713751943404923
OID20768,0.4711024077696934
OID21466,0.4711024077696934
OID30267,0.4708296211988945
OID21506,0.4708296211988945
OID31500,0.47028404805729673
OID20301,0.4691929017741011
OID30606,0.46892011520330223
OID20702,0.46892011520330223
OID20648,0.46892011520330223
OID20653,0.46864732863250336
OID21139,0.4661922494953133
OID30348,0.4653738897829166
OID21087,0.4651011032121177
OID30314,0.4648283166413188
OID21471,0.4648283166413188
OID20232,0.4648283166413188
OID20222,0.4648283166413188
OID20656,0.4648283166413188
OID31484,0.4648283166413188
